0 0 0.5 0 1 0 
-0.059113 -0.158751 0.642597 0.240308 1.08175 0.22187 
-0.118226 -0.317503 0.785195 0.480615 1.1635 0.443741 
-0.171961 -0.460881 0.919801 0.699062 1.23223 0.645427 
-0.225697 -0.604259 1.05441 0.917508 1.30095 0.847113 
-0.268677 -0.71689 1.17303 1.09223 1.34363 1.00843 
-0.311656 -0.829521 1.29166 1.26695 1.38631 1.16975 
-0.338503 -0.896032 1.38631 1.37609 1.38991 1.27051 
-0.36535 -0.962543 1.48097 1.48523 1.39352 1.37128 
-0.370686 -0.967561 1.54366 1.50692 1.34502 1.3913 
-0.376022 -0.972579 1.60635 1.52861 1.29653 1.41133 
-0.365225 -0.931476 1.64507 1.48472 1.20896 1.37081 
-0.354427 -0.890374 1.68379 1.44083 1.1214 1.33028 
-0.332875 -0.818525 1.70653 1.35321 1.00778 1.24939 
-0.311322 -0.746676 1.72927 1.26559 0.894167 1.16849 
-0.284392 -0.659454 1.74401 1.15612 0.767527 1.06741 
-0.257461 -0.572231 1.75876 1.04664 0.640887 0.966335 
-0.225278 -0.475702 1.73517 0.915808 0.535776 0.845543 
-0.193096 -0.379173 1.71157 0.784978 0.430665 0.724751 
-0.160913 -0.282644 1.68798 0.654148 0.325554 0.603959 
-0.128731 -0.186116 1.66438 0.523319 0.220444 0.483167 
-0.0965479 -0.0895866 1.64079 0.392489 0.115333 0.362376 
-0.0643653 0.00694223 1.61719 0.261659 0.0102218 0.241584 
-0.0321826 0.103471 1.5936 0.13083 -0.0948891 0.120792 
0 0.2 1.57 0 -0.2 0 

