 0 0 0.5 0 1 0
 2.93415 1.551 -2.55251 2.48409 2.71526 0.799618


 0 0 0.5 0 1 0
 1.29249 0.000937721 0.704025 -0.227569 0.776753 -1.08112


 0 0 0.5 0 1 0
 -1.38178 -2.25659 -2.51037 0.36076 -0.155235 -0.0588347


 0 0 0.5 0 1 0
 -0.41679 -1.06106 0.658452 -1.6426 2.72268 -2.10564


 0 0 0.5 0 1 0
 0.569642 -1.51695 0.914297 2.2853 1.46646 2.73123


 0 0 0.5 0 1 0
 -0.637242 -1.71135 2.03721 2.59053 1.88128 2.39177


 0 0 0.5 0 1 0
 -2.7607 1.50975 -2.97465 -0.623621 0.343061 -0.141594


 0 0.2 1.57 0 -0.2 0
 -0.637242 -1.71135 2.03721 2.59053 1.88128 2.39177


 2.93415 1.551 -2.55251 2.48409 2.71526 0.799618
 0 0 0.5 0 1 0


 2.93415 1.551 -2.55251 2.48409 2.71526 0.799618
 2.55069 1.52467 2.46289 -2.78405 -0.564462 2.61069


 2.93415 1.551 -2.55251 2.48409 2.71526 0.799618
 1.29249 0.000937721 0.704025 -0.227569 0.776753 -1.08112


 2.93415 1.551 -2.55251 2.48409 2.71526 0.799618
 -1.38178 -2.25659 -2.51037 0.36076 -0.155235 -0.0588347


 2.93415 1.551 -2.55251 2.48409 2.71526 0.799618
 -0.41679 -1.06106 0.658452 -1.6426 2.72268 -2.10564


 2.93415 1.551 -2.55251 2.48409 2.71526 0.799618
 0.569642 -1.51695 0.914297 2.2853 1.46646 2.73123


 2.93415 1.551 -2.55251 2.48409 2.71526 0.799618
 -0.637242 -1.71135 2.03721 2.59053 1.88128 2.39177


 2.55069 1.52467 2.46289 -2.78405 -0.564462 2.61069
 2.93415 1.551 -2.55251 2.48409 2.71526 0.799618


 2.55069 1.52467 2.46289 -2.78405 -0.564462 2.61069
 1.29249 0.000937721 0.704025 -0.227569 0.776753 -1.08112


 2.55069 1.52467 2.46289 -2.78405 -0.564462 2.61069
