0	0	10
460	0	10
460	890	10
0	890	10
0	0	10


0	0	50
460	0	50
460	890	50
0	890	50
0	0	50


0	0	10
0	0	50


0	890	10
0	890	50


460	0	10
460	0	50


460	890	10
460	890	50


0	0	370
460	0	370
460	890	370
0	890	370
0	0	370


0	0	410
460	0	410
460	890	410
0	890	410
0	0	410


0	0	370
0	0	410


0	890	370
0	890	410


460	0	370
460	0	410


460	890	370
460	890	410


0	0	720
460	0	720
460	890	720
0	890	720
0	0	720


0	0	760
460	0	760
460	890	760
0	890	760
0	0	760


0	0	720
0	0	760


0	890	720
0	890	760


460	0	720
460	0	760


460	890	720
460	890	760


0	0	1070
460	0	1070
460	890	1070
0	890	1070
0	0	1070


0	0	1110
460	0	1110
460	890	1110
0	890	1110
0	0	1110


0	0	1070
0	0	1110


0	890	1070
0	890	1110


460	0	1070
460	0	1110


460	890	1070
460	890	1110


0	0	1420
460	0	1420
460	890	1420
0	890	1420
0	0	1420


0	0	1460
460	0	1460
460	890	1460
0	890	1460
0	0	1460


0	0	1420
0	0	1460


0	890	1420
0	890	1460


460	0	1420
460	0	1460


460	890	1420
460	890	1460


0	0	1715
460	0	1715
460	890	1715
0	890	1715
0	0	1715


0	0	1755
460	0	1755
460	890	1755
0	890	1755
0	0	1755


0	0	1715
0	0	1755


0	890	1715
0	890	1755


460	0	1715
460	0	1755


460	890	1715
460	890	1755


0	0	0
40	0	0
40	40	0
0	40	0
0	0	0


0	0	1755
40	0	1755
40	40	1755
0	40	1755
0	0	1755


0	0	0
0	0	1755


0	40	0
0	40	1755


40	0	0
40	0	1755


40	40	0
40	40	1755


420	0	0
460	0	0
460	40	0
420	40	0
420	0	0


420	0	1755
460	0	1755
460	40	1755
420	40	1755
420	0	1755


420	0	0
420	0	1755


420	40	0
420	40	1755


460	0	0
460	0	1755


460	40	0
460	40	1755


0	850	0
40	850	0
40	890	0
0	890	0
0	850	0


0	850	1755
40	850	1755
40	890	1755
0	890	1755
0	850	1755


0	850	0
0	850	1755


0	890	0
0	890	1755


40	850	0
40	850	1755


40	890	0
40	890	1755


420	850	0
460	850	0
460	890	0
420	890	0
420	850	0


420	850	1755
460	850	1755
460	890	1755
420	890	1755
420	850	1755


420	850	0
420	850	1755


420	890	0
420	890	1755


460	850	0
460	850	1755


460	890	0
460	890	1755


